year,scenario,pool,fraction,soc_tCha,pools_sum_tCha
2011,baseline,HUM,0.5591359662182456,37.53398508035681,67.1285471657645
2011,baseline,IOM,0.1828962327060583,12.277558383649273,67.1285471657645
2012,baseline,DPM,0.0428012228741218,2.8834546096603044,67.36850996385152
2012,baseline,RPM,0.18940163225565917,12.759705749785118,67.36850996385152
2012,baseline,BIO,0.03467749951264993,2.336171471439413,67.36850996385152
2012,baseline,HUM,0.5507354421636331,37.10222612284689,67.36850996385152
2012,baseline,IOM,0.18238420319393595,12.286952010119794,67.36850996385152
2013,baseline,DPM,0.037079468849661186,2.5017373740280435,67.46961193460848
2013,baseline,RPM,0.19468349243760447,13.135219684839457,67.46961193460848
2013,baseline,BIO,0.03857860822469538,2.602883725897492,67.46961193460848
2013,baseline,HUM,0.5370360659520836,36.23361496467589,67.46961193460848
2013,baseline,IOM,0.19262236453595544,12.996156185167605,67.46961193460848
2014,baseline,DPM,0.016295039125328956,1.0983332343699506,67.40292097014391
2014,baseline,RPM,0.1981222882046462,13.354020934281843,67.40292097014391
2014,baseline,BIO,0.04716308869993402,3.17892994034954,67.40292097014391
2014,baseline,HUM,0.5458425056849104,36.791379272825345,67.40292097014391
2014,baseline,IOM,0.19257707828518036,12.98025758831723,67.40292097014391
2015,baseline,DPM,0.027690098593904502,1.8618477996615324,67.23875660274413
2015,baseline,RPM,0.19720859402338128,13.260060653507516,67.23875660274413
2015,baseline,BIO,0.05059026437130661,3.4016264725307637,67.23875660274413
2015,baseline,HUM,0.5424857802566674,36.4760693391278,67.23875660274413
2015,baseline,IOM,0.18202526275474018,12.239152337916522,67.23875660274413
2016,baseline,DPM,0.05272477604344395,3.5389378657172137,67.12096534656142
2016,baseline,RPM,0.1967692030606803,13.207338859906432,67.12096534656142
2016,baseline,BIO,0.042817505532451575,2.8739523050698845,67.12096534656142
2016,baseline,HUM,0.5310561289970204,35.64500003148806,67.12096534656142
2016,baseline,IOM,0.17663238636640374,11.855736284379836,67.12096534656142
2017,baseline,DPM,0.029057181139123704,1.9616632267507075,67.51044491750264
2017,baseline,RPM,0.22224836720323662,15.004086152079006,67.51044491750264
2017,baseline,BIO,0.030400498200294356,2.0523511592156103,67.51044491750264
2017,baseline,HUM,0.5311411858914001,35.857577773538395,67.51044491750264
2017,baseline,IOM,0.18715276756594518,12.634766605918916,67.51044491750264
2018,baseline,DPM,0.04624067069074283,3.11267214802165,67.31459776695654
2018,baseline,RPM,0.19625625361473553,13.210910771325732,67.31459776695654
2018,baseline,BIO,0.022118925466196537,1.4889265707943116,67.31459776695654
2018,baseline,HUM,0.5480484004036396,36.89165762999494,67.31459776695654
2018,baseline,IOM,0.1873357498246856,12.610430646819909,67.31459776695654
2019,baseline,DPM,0.025030585557472448,1.679440601521081,67.09553788363984
2019,baseline,RPM,0.20579395364284142,13.807856012867289,67.09553788363984
2019,baseline,BIO,0.01686492361563342,1.1315611213574244,67.09553788363984
2019,baseline,HUM,0.559393720175968,37.53282254393689,67.09553788363984
2019,baseline,IOM,0.19291681700808466,12.943857603957161,67.09553788363984
2020,baseline,DPM,0.027275715088112672,1.8291723559768054,67.06230616017825
2020,baseline,RPM,0.18922067603672163,12.689574908210531,67.06230616017825
2020,baseline,BIO,0.050375826089548034,3.3783190722891656,67.06230616017825
2020,baseline,HUM,0.5582798019300224,37.43953100007483,67.06230616017825
2020,baseline,IOM,0.17484798085559544,11.725708823626928,67.06230616017825
2021,baseline,DPM,0.02222082597015304,1.4948344740054995,67.27177810641952
2021,baseline,RPM,0.20938047752852146,14.085397024114855,67.27177810641952
2021,baseline,BIO,0.033949409138303896,2.283837118396031,67.27177810641952
2021,baseline,HUM,0.5396037234999753,36.30010195268809,67.27177810641952
2021,baseline,IOM,0.19484556386304633,13.107607537215046,67.27177810641952
2022,baseline,DPM,0.03263091170329152,2.2044320521421614,67.55655717458234
2022,baseline,RPM,0.19971136661397648,13.491812357071076,67.55655717458234
2022,baseline,BIO,0.020719919969714933,1.3997664580868172,67.55655717458234
2022,baseline,HUM,0.5635187486139406,38.06938655968677,67.55655717458234
2022,baseline,IOM,0.1834190530990764,12.391159747595509,67.55655717458234
2023,baseline,DPM,0.02458792392212326,1.6585590042212737,67.45421083432615
2023,baseline,RPM,0.2165325872034921,14.606034789726467,67.45421083432615
2023,baseline,BIO,0.028027807742288965,1.8905936526723182,67.45421083432615
2023,baseline,HUM,0.552747698843895,37.2851598160047,67.45421083432615
2023,baseline,IOM,0.17810398228820082,12.013863571701386,67.45421083432615
2024,baseline,DPM,0.03060743315120214,2.067273988673077,67.54156673186698
2024,baseline,RPM,0.19192129760369175,12.962665129366249,67.54156673186698
2024,baseline,BIO,0.02900453875772603,1.959011990031975,67.54156673186698
2024,baseline,HUM,0.5623773035406571,37.9838441755787,67.54156673186698
2024,baseline,IOM,0.18608942694672298,12.568771448216975,67.54156673186698
2000,project,DPM,0.022873386625632538,1.5301886922842902,66.89821307744255
2000,project,RPM,0.21445624088345322,14.346739298408599,66.89821307744255
2000,project,BIO,0.01755861647787714,1.1746400664821186,66.89821307744255
2000,project,HUM,0.5674728725970488,37.96292114666578,66.89821307744255
2000,project,IOM,0.17763888341598838,11.883723873601767,66.89821307744255
2001,project,DPM,0.032768686523863784,2.199612032164813,67.12542568842198
2001,project,RPM,0.21258755799061832,14.270030326182349,67.12542568842198
2001,project,BIO,0.03727268860321115,2.501945089042543,67.12542568842198
2001,project,HUM,0.5353014244683519,35.93233598905679,67.12542568842198
2001,project,IOM,0.18206964241395482,12.221502251975487,67.12542568842198
2002,project,DPM,0.015760083324707658,1.061468460717693,67.35170359496706
2002,project,RPM,0.20526767528825107,13.825127623642228,67.35170359496706
2002,project,BIO,0.04712805904931888,3.17415506409583,67.35170359496706
2002,project,HUM,0.5466068127579864,36.814900035865556,67.35170359496706
2002,project,IOM,0.1852373695797361,12.476052410645751,67.35170359496706
2003,project,DPM,0.030261388402614085,2.0260178678609133,66.95059198559109
2003,project,RPM,0.19077499213969326,12.772498659798948,66.95059198559109
2003,project,BIO,0.025849551803644774,1.7306427958162212,66.95059198559109
2003,project,HUM,0.5569164636676057,37.28588692906813,66.95059198559109
2003,project,IOM,0.19619760398644231,13.135545733046877,66.95059198559109
2004,project,DPM,0.02189841056063721,1.4664830092572572,66.96755480022313
2004,project,RPM,0.209150128602978,14.006272698693643,66.96755480022313
2004,project,BIO,0.027814717401030815,1.8626836118062509,66.96755480022313
2004,project,HUM,0.5615034930918685,37.60251594414641,66.96755480022313
2004,project,IOM,0.1796332503434855,12.029599536319566,66.96755480022313
2005,project,DPM,0.017843078223420118,1.191545693725918,66.77915541287838
2005,project,RPM,0.19960112567987776,13.329194592362027,66.77915541287838
2005,project,BIO,0.04936043882210728,3.2962484153493774,66.77915541287838
2005,project,HUM,0.5581395834363926,37.27208998437806,66.77915541287838
2005,project,IOM,0.17505577383820217,11.690076727062992,66.77915541287838
2006,project,DPM,0.04142840659534629,2.76828675839685,66.82098072069746
2006,project,RPM,0.19223626337000765,12.8454156484662,66.82098072069746
2006,project,BIO,0.05461939468022068,3.6497215189031915,66.82098072069746
2006,project,HUM,0.5118203445125123,34.20033737313132,66.82098072069746
2006,project,IOM,0.19989559084191302,13.357219421799899,66.82098072069746
2007,project,DPM,0.02773208182197859,1.8534800051722853,66.8352277723103
2007,project,RPM,0.1892400125981528,12.647899345632414,66.8352277723103
2007,project,BIO,0.028854832794945225,1.9285193221820933,66.8352277723103
2007,project,HUM,0.5640291439125087,37.69701630361371,66.8352277723103
2007,project,IOM,0.1901439288724147,12.708312795709807,66.8352277723103
2008,project,DPM,0.03835403153312638,2.5539965764395234,66.59004215068333
2008,project,RPM,0.21067716758615773,14.029001469748819,66.59004215068333
2008,project,BIO,0.02872201342813786,1.9126000848321927,66.59004215068333
2008,project,HUM,0.5620438619131549,37.426524455329826,66.59004215068333
2008,project,IOM,0.16020292553942314,10.667919564332971,66.59004215068333
2009,project,DPM,0.02029697636889903,1.3609555454460105,67.05213233294181
2009,project,RPM,0.2035246853162013,13.646764132842268,67.05213233294181
2009,project,BIO,0.020278959218610993,1.3597474571006345,67.05213233294181
2009,project,HUM,0.566192902190227,37.964441403631476,67.05213233294181
2009,project,IOM,0.18970647690606166,12.720223793921415,67.05213233294181
2010,project,DPM,0.017857334739919465,1.1959805726403494,66.97419240099562
2010,project,RPM,0.20604747280300617,13.799863087247447,66.97419240099562
2010,project,BIO,0.044828409845112986,3.0023465459972836,66.97419240099562
2010,project,HUM,0.5464754658356528,36.59975299130072,66.97419240099562
2010,project,IOM,0.1847913167763086,12.376249203809822,66.97419240099562
2011,project,DPM,0.02654045792233962,1.780824793192007,67.09849537648904
2011,project,RPM,0.1976322983460088,13.260829856814574,67.09849537648904
2011,project,BIO,0.044586929863455305,2.9917159072948967,67.09849537648904
2011,project,HUM,0.5498069459859749,36.8912188232015,67.09849537648904
2011,project,IOM,0.18143336788222142,12.173905995986068,67.09849537648904
2012,project,DPM,0.028116813259375116,1.8935946862588093,67.34741482936084
2012,project,RPM,0.20431230756580213,13.759905732378035,67.34741482936084
2012,project,BIO,0.04761569908429084,3.2067942386197528,67.34741482936084
2012,project,HUM,0.5477551105061035,36.88989065215694,67.34741482936084
2012,project,IOM,0.17220006958442843,11.597229519947305,67.34741482936084
2013,project,DPM,0.03793288972664391,2.560078767775693,67.4896847096124
2013,project,RPM,0.2022599584229323,13.650460823343014,67.4896847096124
2013,project,BIO,0.04369258905943549,2.9487990597679614,67.4896847096124
2013,project,HUM,0.5353383541642267,36.12981673550648,67.4896847096124
2013,project,IOM,0.18077620862676166,12.200529323219259,67.4896847096124
2014,project,DPM,0.032646489209328784,2.2069049743318545,67.60007056750311
2014,project,RPM,0.18442046146954566,12.466836209432774,67.60007056750311
2014,project,BIO,0.04177535466307908,2.824016923206616,67.60007056750311
2014,project,HUM,0.560953018977056,37.920463667902894,67.60007056750311
2014,project,IOM,0.1802046756809905,12.18184879262897,67.60007056750311
2015,project,DPM,0.02532543056965248,1.7151428990671609,67.72413579899487
2015,project,RPM,0.21228535033241114,14.376841894049415,67.72413579899487
2015,project,BIO,0.018842297830379644,1.2760783370297377,67.72413579899487
2015,project,HUM,0.5566501230619894,37.698648526777376,67.72413579899487
2015,project,IOM,0.18689679820556734,12.657424142071186,67.72413579899487
2016,project,DPM,0.03169494355676001,2.14588006029796,67.70417673895113
2016,project,RPM,0.2036465586170632,13.78772259688882,67.70417673895113
2016,project,BIO,0.030083544433634698,2.036781609268893,67.70417673895113
2016,project,HUM,0.5590828408316555,37.852243467381285,67.70417673895113
2016,project,IOM,0.17549211256088668,11.881549005114177,67.70417673895113
2017,project,DPM,0.038075221271290836,2.5926269706320078,68.09223647471956
2017,project,RPM,0.19348251063401684,13.174656867813916,68.09223647471956
2017,project,BIO,0.04015165683728563,2.7340161122162434,68.09223647471956
2017,project,HUM,0.5615054155551078,38.23415953781407,68.09223647471956
2017,project,IOM,0.16678519570229888,11.356776986243315,68.09223647471956
2018,project,DPM,0.0301554246266731,2.0497161777936443,67.97172326933932
2018,project,RPM,0.183820824284778,12.494618199426782,67.97172326933932
2018,project,BIO,0.04180306171794533,2.841426142903293,67.97172326933932
2018,project,HUM,0.5523686413088754,37.54544842970784,67.97172326933932
2018,project,IOM,0.1918520480617281,13.040514319507771,67.97172326933932
2019,project,DPM,0.024889379518112258,1.697722136233986,68.21070549382463
2019,project,RPM,0.21017494851900495,14.336181515609601,68.21070549382463
2019,project,BIO,0.017319283573091416,1.1813605511681733,68.21070549382463
2019,project,HUM,0.562654986199795,38.37909355830618,68.21070549382463
2019,project,IOM,0.18496140218999635,12.616347732506691,68.21070549382463
2020,project,DPM,0.027235859508257982,1.8631006244634805,68.40616224718678
2020,project,RPM,0.21171265477150505,14.482450212082218,68.40616224718678
2020,project,BIO,0.02508437515524461,1.715925836738964,68.40616224718678
2020,project,HUM,0.548247054388329,37.50347695403027,68.40616224718678
2020,project,IOM,0.18772005617666337,12.841208619871853,68.40616224718678
2021,project,DPM,0.031034532642050753,2.1361495076117047,68.83137349770473
2021,project,RPM,0.19098426472904692,13.145709257749544,68.83137349770473
2021,project,BIO,0.046423504401688506,3.195393570544961,68.83137349770473
2021,project,HUM,0.5551779688963264,38.213662134800146,68.83137349770473
2021,project,IOM,0.1763797293308874,12.140459026998379,68.83137349770473
2022,project,DPM,0.017661377017230803,1.2245157049593263,69.33296898450578
2022,project,RPM,0.1975084180158254,13.693845020470022,69.33296898450578
2022,project,BIO,0.04143590867230832,2.8728745708219665,69.33296898450578
2022,project,HUM,0.5622916602258489,38.98535023868504,69.33296898450578
2022,project,IOM,0.1811026360687867,12.556383449569426,69.33296898450578
2023,project,DPM,0.010363250698075007,0.7173916120686629,69.22457373359883
2023,project,RPM,0.20696772571904282,14.327252589513138,69.22457373359883
2023,project,BIO,0.029677222193403983,2.0543930559356895,69.22457373359883
2023,project,HUM,0.5680580360200594,39.32357539943395,69.22457373359883
2023,project,IOM,0.18493376536941872,12.801961076647393,69.22457373359883
2024,project,DPM,0.014413610785434846,1.001819865059018,69.50512817172579
2024,project,RPM,0.19422316209436813,13.499505775286927,69.50512817172579
2024,project,BIO,0.03401057529386756,2.363909394994395,69.50512817172579
2024,project,HUM,0.5740510890193823,39.89949451941093,69.50512817172579
2024,project,IOM,0.18330156280694726,12.740398616974511,69.50512817172579
